Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
0.75,1.0,1.0,1.0,0.1111111111111111,91.0
0.375,0.7118644067796611,0.0,0.0,0.2222222222222222,65.0
0.875,0.18644067796610175,1.0,0.6000000000000001,0.2222222222222222,45.0
0.5,0.2033898305084746,1.0,0.19999999999999996,0.2222222222222222,36.0
0.75,0.5932203389830508,0.0,0.8,0.5555555555555556,66.0
0.25,0.6440677966101696,0.0,1.0,0.6666666666666666,61.0
0.75,0.5593220338983051,1.0,0.19999999999999996,0.6666666666666666,63.0
0.875,0.0847457627118644,1.0,0.0,0.6666666666666666,42.0
0.5,0.6271186440677967,0.0,0.8,0.2222222222222222,61.0
0.375,0.8305084745762712,0.0,0.0,0.0,69.0
0.875,0.8644067796610169,0.0,0.0,0.5555555555555556,84.0
0.875,0.6610169491525424,0.0,0.40000000000000013,0.2222222222222222,73.0
0.25,0.11864406779661019,0.0,1.0,0.2222222222222222,27.0
0.625,0.11864406779661019,0.0,0.0,0.2222222222222222,33.0
0.5,0.6610169491525424,0.0,0.6000000000000001,0.8888888888888888,68.0
0.125,0.5423728813559323,0.0,0.0,0.3333333333333333,43.0
0.875,0.5593220338983051,1.0,0.8,0.4444444444444444,67.0
0.625,0.728813559322034,1.0,0.6000000000000001,0.2222222222222222,70.0
0.125,0.23728813559322037,1.0,0.0,1.0,30.0
0.5,0.5932203389830508,0.0,0.6000000000000001,0.0,63.0
0.0,1.0,1.0,0.0,0.3333333333333333,71.0
0.625,0.9491525423728815,0.0,1.0,0.0,85.0
1.0,0.576271186440678,1.0,0.6000000000000001,0.6666666666666666,73.0
0.0,0.7627118644067796,0.0,0.19999999999999996,0.6666666666666666,57.0
0.25,0.35593220338983045,0.0,0.40000000000000013,0.3333333333333333,35.0
0.75,0.3728813559322035,1.0,0.6000000000000001,0.4444444444444444,49.0
0.375,0.6610169491525424,0.0,0.8,1.0,66.0
1.0,0.7457627118644068,1.0,0.40000000000000013,0.6666666666666666,83.0
0.25,0.9152542372881356,1.0,0.40000000000000013,0.5555555555555556,74.0
0.5,0.847457627118644,1.0,0.0,0.3333333333333333,74.0
0.25,0.35593220338983045,1.0,0.6000000000000001,0.3333333333333333,39.0
0.75,0.06779661016949157,1.0,1.0,0.1111111111111111,36.0
0.5,0.5084745762711864,1.0,0.40000000000000013,1.0,58.0
1.0,0.2033898305084746,1.0,0.8,0.1111111111111111,47.0
0.75,0.4576271186440679,1.0,1.0,0.3333333333333333,60.0
0.125,0.9661016949152543,1.0,1.0,0.4444444444444444,74.0
0.375,0.3220338983050848,0.0,0.8,0.3333333333333333,42.0
1.0,0.5423728813559323,0.0,0.8,0.2222222222222222,68.0
0.125,0.2542372881355932,1.0,0.0,0.1111111111111111,32.0
1.0,0.47457627118644075,0.0,0.19999999999999996,0.3333333333333333,64.0
0.5,0.3728813559322035,0.0,0.6000000000000001,0.4444444444444444,45.0
0.125,0.38983050847457634,1.0,0.40000000000000013,0.0,39.0
0.375,0.5593220338983051,1.0,0.6000000000000001,0.0,58.0
0.75,0.10169491525423735,0.0,1.0,0.5555555555555556,36.0
0.875,0.6271186440677967,1.0,0.40000000000000013,0.4444444444444444,71.0
0.25,0.6101694915254237,1.0,0.0,0.3333333333333333,54.0
0.0,0.05084745762711862,1.0,0.6000000000000001,0.0,17.0
0.375,0.5593220338983051,0.0,0.0,0.6666666666666666,54.0
0.125,0.6949152542372881,1.0,0.0,0.3333333333333333,58.0
0.875,0.35593220338983045,0.0,0.6000000000000001,0.2222222222222222,53.0
0.375,0.06779661016949157,1.0,0.6000000000000001,0.6666666666666666,27.0
0.125,0.8305084745762712,1.0,0.40000000000000013,0.1111111111111111,65.0
0.625,0.6949152542372881,0.0,1.0,1.0,75.0
0.625,0.3728813559322035,1.0,1.0,0.0,52.0
0.375,0.8983050847457628,0.0,0.8,0.3333333333333333,78.0
0.625,1.0,0.0,0.0,0.7777777777777777,91.0
0.125,0.23728813559322037,1.0,1.0,0.5555555555555556,33.0
0.125,0.5084745762711864,1.0,0.19999999999999996,0.8888888888888888,47.0
0.375,0.9830508474576272,0.0,0.40000000000000013,0.0,78.0
0.875,0.13559322033898313,0.0,0.40000000000000013,0.0,38.0
0.75,0.7118644067796611,1.0,0.8,0.4444444444444444,70.0
1.0,0.9661016949152543,1.0,0.8,0.5555555555555556,98.0
0.875,0.8813559322033899,1.0,0.0,0.7777777777777777,87.0
0.5,0.4067796610169492,1.0,0.40000000000000013,0.2222222222222222,49.0
0.125,0.4067796610169492,1.0,0.40000000000000013,0.5555555555555556,41.0
0.5,0.8135593220338984,0.0,0.19999999999999996,0.2222222222222222,71.0
0.875,0.3389830508474576,0.0,0.0,0.7777777777777777,54.0
1.0,0.13559322033898313,0.0,0.0,0.3333333333333333,42.0
1.0,0.9152542372881356,0.0,1.0,0.1111111111111111,91.0
0.0,0.7966101694915255,1.0,0.8,0.8888888888888888,61.0
1.0,0.6271186440677967,0.0,1.0,1.0,74.0
0.75,0.35593220338983045,1.0,0.0,0.7777777777777777,54.0
1.0,0.7118644067796611,1.0,0.19999999999999996,0.5555555555555556,81.0
0.875,0.3728813559322035,1.0,0.0,0.2222222222222222,52.0
0.0,0.8135593220338984,1.0,1.0,0.1111111111111111,65.0
0.875,0.05084745762711862,1.0,0.6000000000000001,0.3333333333333333,36.0
0.875,0.47457627118644075,0.0,0.6000000000000001,0.3333333333333333,61.0
0.25,0.23728813559322037,1.0,0.19999999999999996,0.0,35.0
0.0,0.0,1.0,0.8,0.8888888888888888,15.0
0.875,0.8983050847457628,1.0,0.40000000000000013,1.0,88.0
0.25,0.4915254237288136,0.0,0.0,0.7777777777777777,45.0
0.25,0.47457627118644075,1.0,1.0,0.6666666666666666,49.0
0.0,0.3220338983050848,1.0,0.8,0.5555555555555556,33.0
0.5,0.5423728813559323,1.0,1.0,0.2222222222222222,60.0
0.75,0.6779661016949152,0.0,0.8,0.3333333333333333,71.0
1.0,0.728813559322034,1.0,0.0,0.1111111111111111,81.0
0.75,0.5932203389830508,0.0,0.40000000000000013,0.6666666666666666,67.0
1.0,1.0,0.0,0.0,0.1111111111111111,95.0
0.875,0.35593220338983045,1.0,0.40000000000000013,1.0,58.0
0.125,0.2033898305084746,0.0,1.0,0.0,29.0
0.0,0.10169491525423735,0.0,0.19999999999999996,0.5555555555555556,21.0
0.75,0.11864406779661019,1.0,0.40000000000000013,0.3333333333333333,38.0
0.75,0.4576271186440679,1.0,0.8,0.7777777777777777,60.0
0.875,0.7457627118644068,1.0,0.19999999999999996,0.0,76.0
0.5,0.7118644067796611,1.0,1.0,0.8888888888888888,69.0
0.25,0.13559322033898313,0.0,0.6000000000000001,0.5555555555555556,30.0
0.875,0.4067796610169492,0.0,0.19999999999999996,0.1111111111111111,57.0
0.625,0.9322033898305084,1.0,0.40000000000000013,0.7777777777777777,81.0
0.25,0.2542372881355932,1.0,0.19999999999999996,0.4444444444444444,36.0
0.0,0.15254237288135597,1.0,1.0,0.4444444444444444,25.0
0.25,0.1694915254237288,0.0,0.19999999999999996,0.4444444444444444,27.0
0.5,0.5084745762711864,1.0,1.0,0.6666666666666666,61.0
0.25,0.18644067796610175,0.0,0.6000000000000001,0.6666666666666666,34.0
0.0,1.0,0.0,0.40000000000000013,1.0,76.0
0.5,0.5084745762711864,0.0,0.8,0.6666666666666666,57.0
0.75,0.22033898305084754,0.0,0.19999999999999996,1.0,45.0
0.75,0.847457627118644,1.0,0.0,0.1111111111111111,76.0
1.0,0.728813559322034,1.0,0.8,0.7777777777777777,83.0
0.25,0.5254237288135593,1.0,0.19999999999999996,0.0,50.0
0.75,0.8305084745762712,0.0,0.8,0.1111111111111111,81.0
0.0,0.8813559322033899,0.0,0.0,0.6666666666666666,66.0
0.375,0.27118644067796616,1.0,0.8,0.3333333333333333,38.0
0.375,0.576271186440678,0.0,0.8,1.0,56.0
0.5,0.0,0.0,0.0,1.0,25.0
0.75,0.47457627118644075,0.0,0.0,0.8888888888888888,56.0
0.75,0.847457627118644,1.0,0.0,0.8888888888888888,82.0
0.375,0.05084745762711862,1.0,0.6000000000000001,0.2222222222222222,23.0
0.75,0.3728813559322035,1.0,1.0,0.2222222222222222,56.0
0.25,0.4576271186440679,0.0,1.0,0.8888888888888888,46.0
0.625,0.2542372881355932,1.0,0.0,1.0,43.0
0.125,0.18644067796610175,1.0,1.0,0.7777777777777777,30.0
1.0,0.8813559322033899,1.0,0.8,0.0,92.0
0.5,0.3389830508474576,0.0,0.0,0.5555555555555556,45.0
0.625,0.7457627118644068,0.0,0.19999999999999996,0.6666666666666666,70.0
0.375,0.27118644067796616,0.0,0.0,0.7777777777777777,36.0
0.75,0.6610169491525424,0.0,0.0,0.1111111111111111,71.0
1.0,0.2033898305084746,0.0,1.0,0.0,49.0
0.75,0.8644067796610169,1.0,0.40000000000000013,0.3333333333333333,82.0
0.0,0.9661016949152543,1.0,0.8,0.0,71.0
0.0,0.5254237288135593,0.0,1.0,0.1111111111111111,43.0
1.0,0.6101694915254237,0.0,0.8,0.2222222222222222,77.0
1.0,0.8305084745762712,1.0,0.19999999999999996,0.3333333333333333,86.0
0.375,0.23728813559322037,0.0,0.6000000000000001,0.5555555555555556,34.0
1.0,0.18644067796610175,0.0,0.40000000000000013,0.7777777777777777,49.0
0.25,0.8135593220338984,0.0,0.19999999999999996,0.8888888888888888,69.0
0.75,0.9491525423728815,0.0,0.19999999999999996,0.3333333333333333,84.0
0.625,0.23728813559322037,0.0,0.8,0.0,41.0
0.875,0.5593220338983051,1.0,0.40000000000000013,0.4444444444444444,68.0
1.0,0.0847457627118644,1.0,0.8,0.4444444444444444,44.0
0.5,0.27118644067796616,0.0,0.6000000000000001,0.8888888888888888,41.0
0.0,0.7966101694915255,0.0,0.8,0.5555555555555556,58.0
0.25,0.8135593220338984,1.0,0.0,0.4444444444444444,68.0
0.875,0.9491525423728815,0.0,0.8,1.0,94.0
0.625,0.3220338983050848,1.0,0.0,1.0,47.0
0.875,0.13559322033898313,0.0,0.19999999999999996,0.4444444444444444,40.0
1.0,0.9830508474576272,1.0,0.6000000000000001,0.7777777777777777,100.0
0.375,0.06779661016949157,1.0,1.0,0.0,23.0
0.0,0.3728813559322035,0.0,0.0,0.4444444444444444,36.0
0.0,0.5423728813559323,0.0,0.6000000000000001,0.0,47.0
0.375,0.6271186440677967,1.0,0.8,0.6666666666666666,60.0
0.75,0.9322033898305084,0.0,1.0,0.6666666666666666,83.0
0.125,0.22033898305084754,1.0,0.8,1.0,33.0
0.25,0.27118644067796616,0.0,0.19999999999999996,0.7777777777777777,36.0
0.0,0.9491525423728815,0.0,0.8,0.6666666666666666,74.0
0.5,0.30508474576271194,0.0,0.0,0.8888888888888888,42.0
0.0,0.5423728813559323,1.0,0.19999999999999996,0.7777777777777777,47.0
0.875,0.0,1.0,0.6000000000000001,0.7777777777777777,31.0
0.0,0.2033898305084746,0.0,0.19999999999999996,0.2222222222222222,26.0
0.0,0.7627118644067796,1.0,0.6000000000000001,1.0,58.0
0.125,0.44067796610169485,0.0,0.40000000000000013,0.3333333333333333,42.0
0.125,0.0847457627118644,1.0,0.0,0.3333333333333333,18.0
0.625,0.9830508474576272,0.0,0.0,0.0,85.0
0.75,0.0847457627118644,1.0,0.6000000000000001,0.5555555555555556,36.0
0.5,0.5423728813559323,1.0,0.8,0.1111111111111111,58.0
0.0,0.4915254237288136,1.0,1.0,0.8888888888888888,45.0
